Журнал информации по встрече морских и наземных млекопитающий при транспортировке грузов и СПГ;;;;;;;"Системы координат: См. лист ""Координаты""";;;;
;;;;;;;;;;;
№;Название судна;ФИО наблюдателя;ДД.ММ.ГГ;Время наблюдения;Координаты наблюдения;Вид млекопитающего;Кол-во;Расст-е;Среда (Вода, Берег, Лед);По какому борту;Меры по защите
79;АЛ Таймыр;Васильев Р.Е.;24.05.2014;15.20;7146N/07258E;Нерпа;20;0.2 мили;лед припай;с левого и правого борта;Не было необходимости
80;АЛ Таймыр;Песин В.С.;25.05.2014;19.15;7120N/07215E;Тюлень;167;0.5 мили;лед припай;с левого борта;Не было необходимости
81;АЛ Таймыр;Киселев С.В.;31.05.2014;09.25.;7410N/07300E;Тюлень;1;0.1 мили;лед;с правого борта;Не было необходимости
82;тх ПОМОРЬЕ;3 ПКМ Власюк И.А.;30.05.2014;21.15;7720N/65451E;Белый медведь;1;рядом с бортом судна ;лед;;Нет, не было необходимости, судно стоит во льдах
83;тх ПОМОРЬЕ;2 ПКМ Голованов С.А.;30.05.2014;05.00.;77121N/66591E;Белый медведь;1;100м;;;Нет, не было необходимости, судно лежало в дрейфе
84;тх ПОМОРЬЕ;3 ПКМ Власюк И.А.;31.05.2014;11.35.;77206N/66066E;Белый медведь;1;50м;;;Нет, не было необходимости, судно лежало в дрейфе
85;АЛ Таймыр;Киселев С.В.;01.06.2014;08.55.;7121N/07215E;Нерпа;53;0.1 мили;лед припай;с левого борта;Не было необходимости
86;тх ПОМОРЬЕ;2 ПКМ Голованов С.А.;01.06.2014;15.00.;Ш=77 20,0 сев  Д=067 01,3 вост ;Белый медведь;2;100м;;;Нет, не было необходимости, судно лежит в дрейфе
87;АЛ Таймыр;Коберник Роман Вительевич;05.06.2014;16.20.;7723N/06907E;Белый медведь;1;0.1 мили;лед;с левого борта;Не было необходимости
88;тх ПОМОРЬЕ;3 ПКМ Власюк И.А.;06.06.2014;09.10 мск;7702N/6552E;Белый медведь  (медведица и 2 медвежонка);3;2-3 км;;;Нет, не было необходимости, судно лежит в дрейфе
89;тх ПОМОРЬЕ;3 ПКМ Власюк И.А.;06.06.2014;09.10 мск;7702N/6552E;Белый медведь ;1;0,5-1 км;;;Нет, не было необходимости, судно лежит в дрейфе
90;АЛ Таймыр;КИСЕЛЕВ СЕРГЕЙ ВЛАДИМИРОВИЧ;07.06.2014;11.30.;7153N/07254E;Нерпа;28;0.2 мили;лед;с левого борта;Не было необходимости 
91;АЛ Таймыр;КОБЕРНИК РОМАН ВИТАЛЬЕВИЧ;07.06.2014;16.50.;7129N/07219E;Нерпа;9;0.3 мили;лед припай;с левого борта;Не было необходимости
92;тх ПОМОРЬЕ;2 ПКМ Голованов С.А.;07.06.2014;14.30 мск;77045N/65411E;Белый медведь (медведица и медвежонок);2;100м;;;Нет, не было необходимости, судно лежит в дрейфе
93;тх ПОМОРЬЕ;3 ПКМ Власюк И.А.;07.06.2014;23.15 мск;7705N/6539E;Белый медведь (медведица и медвежонок);5;100-200м;лед, вода;;Нет, не было необходимости, судно лежит в дрейфе
94;АЛ Таймыр;ВАСИЛЬЕВ РУСЛАН ЕВГЕНЬЕВИЧ;12.06.2014;23.00.;7705N/06449E;МОРЖ;1;0.2 мили;лед;с правого борта;Не было необходимости
95;50 ЛЕТ ПОБЕДЫ ;КМ ДАВЫДЯНЦ;28.06.2014;11.50 МСК;8020,2 N/ 5244,9 E;МЕДВЕДЬ БЕЛЫЙ, САМКА;1;100м;;;Не было необходимости
96;АЛ Таймыр;Волков Павел Александрович;02.07.2014;05.00.;7526N/07053E;нерпа;1;100м;лед;с левого борта;Не было необходимости
97;АЛ Таймыр;Ламов Алексей Николаевич;02.07.2014;09.20.;7610N/07123E;Белый медведь;1;100м;вода;с левого борта;Не было необходимости
98;50 ЛЕТ ПОБЕДЫ ;ЮШКЕВИЧ С.П.;03.07.2014;15.10 МСК;7955,2N/ 5007,3E;МОРЖИ;7;100м;;;Не было необходимости
99;50 ЛЕТ ПОБЕДЫ;ЮШКЕВИЧ С.П.;07.07.2014;00.35 МСК;8901,4N/ 4905,7E;ТЮЛЕНИ;2;400м;;;Не было необходимости
100;50 ЛЕТ ПОБЕДЫ;ЮШКЕВИЧ С.П.;08.07.2014;13.20 МСК;8255,7N/ 5253,8E;МЕДВЕДЬ БЕЛЫЙ;1;150м;;;Не было необходимости
101;АЛ Таймыр;Ламов Алексей Николаевич;09.07.2014;08.20.;7542N/7100E;Белый медведь;1;;лед;с левого борта;Нет, не было необходимости, судно лежит в дрейфе
102;АЛ Таймыр;Волков Павел Александрович;11.07.2014;17.50;7358N/07236E;нерпа;6;1 кбт;вода;с левого борта;Не было необходимости
103;АЛ Таймыр;Новиков Дмитрий Анатольевич;13.07.2014;23.10.;7345N/07205E;нерпа;1;150м;лед;с правого борта;Не было необходимости
104;50 ЛЕТ ПОБЕДЫ ;ЮШКЕВИЧ С.П.;02.08.2014;12.10 МСК;8051N/5222E;МЕДВЕДЬ БЕЛЫЙ, самец старый;1;100м;;;Не было необходимости
105;50 ЛЕТ ПОБЕДЫ ;ЮШКЕВИЧ С.П.;02.08.2014;13.15 МСК;8043,4 N/ 5334,7E;МЕДВЕДЬ БЕЛЫЙ, САМЕЦ  ХРОМАЕТ НА ПРАВУЮ ЗАДНЮЮ ЛАПУ.;1;100м;;;изменили курс
106;50 ЛЕТ ПОБЕДЫ ;ЮШКЕВИЧ С.П.;02.08.2014;13.30 МСК;8043,7 N/5340,9 E;МЕДВЕДЬ БЕЛЫЙ, САМКА.;1;200м;;;Не было необходимости
107;50 ЛЕТ ПОБЕДЫ;ЮШКЕВИЧ С.П.;08.08.2014;01.50 МСК;7737,0N/4503,5E;ТЮЛЕНИ ГРЕНЛАНДСКИЕ НА ЛЬДИНЕ ;376 ШТ., ИЗ НИХ - 122 МОЛОДНЯК;2.5 КБТ;лед;;Не было необходимости
108;АЛ ТАЙМЫР;КЕЛАРЕВ К.А.;11.02.2015;23.00 МСК;7155.0N/07310.7E;БЕЛЫЙ МЕДВЕДЬ;3;200 М;;;НЕ БЫЛО НЕОБХОДИМОСТИ 
109;АЛ ТАЙМЫР;КАЙГОРОДОВ Г. Б.;15.02.2015;21.30 МСК;7139.0N/07251.6E;БЕЛЫЙ МЕДВЕДЬ ;1;150 М;;;НЕ БЫЛО НЕОБХОДИМОСТИ
110;АЛ ТАЙМЫР;СИМОНОВ К. Н.;17.02.2015;13.20 МСК;7152.2N/07307.9E;БЕЛЫЙ МЕДВЕДЬ ;2;200 М;;;НЕ БЫЛО НЕОБХОДИМОСТИ
111;АЛ ТАЙМЫР;БЕКТАШ Р. Н.;24.02.2015;06.10 МСК;7318.4N/07234.5E;БЕЛЫЙ МЕДВЕДЬ ;3;150 м;;;НЕ БЫЛО НЕОБХОДИМОСТИ
