Журнал информации по встрече морских и наземных млекопитающий при транспортировке грузов и СПГ;;;;;;;"Системы координат: См. лист ""Координаты""";;;;
;;;;;;;;;;;
№;Название судна;ФИО наблюдателя;ДД.ММ.ГГ;Время наблюдения;Координаты наблюдения;Вид млекопитающего;Кол-во;Расст-е;Среда (Вода, Берег, Лед);По какому борту;Меры по защите
146;АЛ ТАЙМЫР;ЛИНОВИЦКИЙ АНДРЕЙ НИКОЛАЕВИЧ;29.04.2015;16:23;7241,8 N/07402,5 E;НЕРПА КОЛЬЧАТАЯ ;8;1,5 КБТ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
147;АЛ ТАЙМЫР;ЛИНОВИЦКИЙ АНДРЕЙ НИКОЛАЕВИЧ;29.04.2015;16:23;7245,1 N/07355,9 E;НЕРПА КОЛЬЧАТАЯ ;2;1КБТ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
148;АЛ ТАЙМЫР;ЛИНОВИЦКИЙ АНДРЕЙ НИКОЛАЕВИЧ;29.04.2015;16:23;7250,5 N/07348,8 E;НЕРПА КОЛЬЧАТАЯ ;6; 1,5 КБТ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
149;АЛ ТАЙМЫР;ЛИНОВИЦКИЙ АНДРЕЙ НИКОЛАЕВИЧ;29.04.2015;16:23;7252,3 N/07343,3 E;НЕРПА КОЛЬЧАТАЯ ;9;2 КБТ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
150;АЛ ТАЙМЫР;ЛИНОВИЦКИЙ АНДРЕЙ НИКОЛАЕВИЧ;29.04.2015;16:23;7259,1 N/07333,0 E;НЕРПА КОЛЬЧАТАЯ ;1;1 КБТ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
151;АЛ ТАЙМЫР;ПУСТОВОЙ ЕВГЕНИЙ ВАЛЕНТИНОВИЧ;30.04.2015;11:26;72 56,1 N/073 12,0 E;НЕРПА;3;2 КБТ ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
152;АЛ ТАЙМЫР;ПУСТОВОЙ ЕВГЕНИЙ ВАЛЕНТИНОВИЧ;30.04.2015;11:26;72 56,1 N/073 12,0E;БЕЛЫЙ МЕДВЕДЬ ;3;5 КБТ ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
153;АЛ ТАЙМЫР;ЛИНОВИЦКИЙ АНДРЕЙ НИКОЛАЕВИЧ;01.05.2015;13:49;7603,5 N/07062,6 E;БЕЛЫЙ МЕДВЕДЬ ;1;0,5 КБТ ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
154;АЛ ТАЙМЫР;БЕКТАШ РОМАН НИКОЛАЕВИЧ;02.05.2015;7:00;7540,5 N/07109,4 E;БЕЛЫЙ МЕДВЕДЬ ;1;2 КБТ ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
155;АЛ ТАЙМЫР;АЛЫПОВ АЛЕКСАНДР ЛЕОНИДОВИЧ;05.05.2015;12:10;6950,7 N/07258,8 E;НЕРПА КОЛЬЧАТАЯ ;1;20м;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
156;АЛ ТАЙМЫР;ЛИНОВИЦКИЙ АНДРЕЙ НИКОЛАЕВИЧ;05.05.2015;16:15;7044,1N/07332,2 E;НЕРПА КОЛЬЧАТАЯ ;1;0,5 КБТ ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
157;АЛ ТАЙМЫР;ЛИНОВИЦКИЙ АНДРЕЙ НИКОЛАЕВИЧ;06.05.2015;8:03;7202,2 N/07310,2 E;НЕРПА КОЛЬЧАТАЯ ;1;0,5 КБТ ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
158;АЛ ТАЙМЫР;ЛИНОВИЦКИЙ АНДРЕЙ НИКОЛАЕВИЧ;06.05.2015;16:09;7149,2 N/07304,4 E;НЕРПА КОЛЬЧАТАЯ ;1;0,5 КБТ ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
159;АЛ ТАЙМЫР;ЛИНОВИЦКИЙ АНДРЕЙ НИКОЛАЕВИЧ;06.05.2015;16:09;7147,9 N/07302,8E;НЕРПА КОЛЬЧАТАЯ ;5;1-1,5КБТ ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
160;АЛ ТАЙМЫР;ЛИНОВИЦКИЙ АНДРЕЙ НИКОЛАЕВИЧ;14.05.2015;14:12;7144,1 N/07257,6 E;НЕРПА КОЛЬЧАТАЯ ;1;0,5 КБТ ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
161;АЛ ТАЙМЫР;ЛИНОВИЦКИЙ АНДРЕЙ НИКОЛАЕВИЧ;14.05.2015;14:24;7135,9 N/07257,8 E;НЕРПА КОЛЬЧАТАЯ ;3;0,5КБТ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
162;АЛ ТАЙМЫР;ЛИНОВИЦКИЙ АНДРЕЙ НИКОЛАЕВИЧ;14.05.2015;15:33;7131,9 N/07244,3 E;НЕРПА КОЛЬЧАТАЯ ;5;ОТ 0,5 ДО 2 КБТ ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
163;АЛ ТАЙМЫР;ЛИНОВИЦКИЙ АНДРЕЙ НИКОЛАЕВИЧ;14.05.2015;15:34;7128,7 N/07236,3 E;НЕРПА КОЛЬЧАТАЯ ;6;1 КБТ ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
164;АЛ ТАЙМЫР;ЛИНОВИЦКИЙ АНДРЕЙ НИКОЛАЕВИЧ;14.05.2015;16:15;7126,5 N/07231,3 E;НЕРПА КОЛЬЧАТАЯ ;40;ОТ 1 ДО 3 КБТ ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
165;АЛ ТАЙМЫР;ЛИНОВИЦКИЙ АНДРЕЙ НИКОЛАЕВИЧ;15.05.2015;16:07;6923,4 N/07338,3E;НЕРПА КОЛЬЧАТАЯ ;2;0,5 КБТ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
166;АЛ ТАЙМЫР;ЛИНОВИЦКИЙ АНДРЕЙ НИКОЛАЕВИЧ;15.05.2015;16:07;6911,3N/07334,7 E;НЕРПА КОЛЬЧАТАЯ ;2;1 КБТ ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
167;АЛ ТАЙМЫР;АЛЫПОВ АЛЕКСАНДР ЛЕОНИДОВИЧ;17.05.2015;13:07;7152,4 N/07307,3 E;НЕРПА КОЛЬЧАТАЯ ;50;2 КБТ ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
168;АЛ ТАЙМЫР;ЛИНОВИЦКИЙ АНДРЕЙ НИКОЛАЕВИЧ;17.05.2015;16:08;7126,8 N/07231,3 E;НЕРПА КОЛЬЧАТАЯ ;10;1 КБТ ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
169;АЛ ТАЙМЫР;ЛИНОВИЦКИЙ АНДРЕЙ НИКОЛАЕВИЧ;25.05.2015;12:18;7246,6 N/07310,4 E;НЕРПА КОЛЬЧАТАЯ ;3;1 КБТ ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
170;Congo River;Дегтярёв Роман Олегович;14.08.2015;12:01:44;72. 25 38 N  73. 50 97 E;Белуха;1;700;вода;правый борт; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
171;АЛ ВАЙГАЧ;БОРОДИН А.Н.;07.02.2016;11:35 МСК;72 29,7 N / 073 55,8 E;БЕЛЫЙ МЕДВЕДЬ   ;3;300 МЕТРОВ Л/БОРТА;;;ЗАМЕДЛЕНИЕ ХОДА,ИЗМЕНЕНИЕ КУРСА
172;АЛ ВАЙГАЧ;ЛЯЩЕНКО А.С.;12.02.2016;13:52 МСК;71 09,0 N / 073 03,3 E;ТЮЛЕНЬ;15;250 МЕТРОВ;;ПР/БОРТА;ЗАМЕДЛЕНИЕ ХОДА,ИЗМЕНЕНИЕ КУРСА
173;АЛ ВАЙГАЧ;ЛЯЩЕНКО А.С.;20.01.2016;12:18 МСК;72 17,0 N / 073 29,3 E;БЕЛЫЙ МЕДВЕДЬ;1;251 МЕТРОВ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
174;АЛ ВАЙГАЧ;ЛЯЩЕНКО А.С.;18.02.2016;14:00 МСК;72 15,9 N / 073 17,8 E;БЕЛЫЙ МЕДВЕДЬ;3;300 МЕТРОВ ;;ПР/БОРТА;ИЗМЕНЕНИЕ КУРСА - ПРОШЛИ В СТОРОНЕ
175;АЛ ВАЙГАЧ;БОРОДИН А.Н.;29.01.2016;09:20 МСК;72 42,8 N / 073 00,5 E;ТЮЛЕНЬ;25;500 МЕТРОВ ;;ПО Л/БОРТУ;ЗАМЕДЛЕНИЕ ХОДА
176;АЛ ВАЙГАЧ;БОРОДИН А.Н.;29.01.2016;09:20 МСК;72 42,8 N / 073 00,5 E;ТЮЛЕНЬ;25;500 МЕТРОВ ;;ПО Л/БОРТУ;ЗАМЕДЛЕНИЕ ХОДА
177;АЛ ВАЙГАЧ;БОРОДИН А.Н.;30.01.2016;10:45 МСК;73 48,4 N / 072 31,3 E;БЕЛЫЙ МЕДВЕДЬ   ;1;300 МЕТРОВ ;;ПР/БОРТА;ЗАМЕДЛЕНИЕ ХОДА,ИЗМЕНЕНИЕ КУРСА
178;АЛ ВАЙГАЧ;БОРОДИН А.Н.;30.01.2016;11:50 МСК;73 35,5 N / 072 27,3 E;БЕЛЫЙ МЕДВЕДЬ   ;3;300 МЕТРОВ ;;Л/БОРТА;ЗАМЕДЛЕНИЕ ХОДА,ИЗМЕНЕНИЕ КУРСА
179;АЛ ВАЙГАЧ;ЛЯЩЕНКО А.С.;27.02.2016;12:42 МСК;71 06,9 N / 073 12,1 E;БЕЛЫЙ МЕДВЕДЬ   ;4;200 МЕТРОВ ;;ПР/БОРТА;ЗАМЕДЛЕНИЕ ХОДА
180;ледокол «ТОР»;Михайлов Виктор Викторович;04.02.2016;13.00 МСК;7116,87 N/7206,91E;тюлень;1;500 м;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
181;ледокол «ТОР»;Раун Сергей Борисович;29.02.2016;23.45 МСК;7116,87 N/7204,72E;Медведь белый;2;400 м;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
182;ледокол «ТОР»;Жестков Илья Валерьевич ;27.05.2016;01.00 МСК;7116,68 N/ 7205,46E;Белуха;10-15;200 м;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
183;АЛ ТАЙМЫР;СУРЯДОВ В.А.;04.06.2016;05.45;6915 N/07315 E;КОЛЬЧАТАЯ НЕРПА ;4;300 МЕТРОВ;;С ПРАВОГО БОРТА; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
184;АЛ ТАЙМЫР;КИСЕЛЕВ С.В.;04.06.2016;09.00;6936 N/07319 E;КОЛЬЧАТАЯ НЕРПА ;8;300 МЕТРОВ ;;С ЛЕВОГО БОРТА ; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
185;АЛ ТАЙМЫР;СУРЯДОВ В.А.;04.06.2016;18.10;7057 N/07335 E;КОЛЬЧАТАЯ НЕРПА ;7;300 МЕТРОВ ;;С ПРАВОГО  БОРТА ; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
186;АЛ ТАЙМЫР;КОПТЯЕВ А.А.;01.06.2016;20.15;7426 N/07319E;БЕЛЫЙ МЕДВЕДЬ ;1;200 МЕТРОВ ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
187;АЛ ТАЙМЫР;СУРЯДОВ В.А.;01.06.2016;06.05;7313 N/07319 E;НЕРПА КОЛЬЧАТАЯ ;28;600 МЕТРОВ ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
188;АЛ ТАЙМЫР;СУРЯДОВ В.А.;30.05.2016;21.50;7102 N/07327E;БЕЛУХА;8;500 МЕТРОВ ;;ПО НОСУ;СНИЖЕНИЕ СКОРОСТИ
189;АЛ ТАЙМЫР;КИСЕЛЕВ С.В;30.05.2016;09.20;6935 N/07319 E;НЕРПА КОЛЬЧАТАЯ ;25;200 МЕТРОВ ;;С ОБОИХ БОРТОВ ; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
190;АЛ ТАЙМЫР;КИСЕЛЕВ С.В;29.05.2016;10.15;7008 N/07320 E;НЕРПА КОЛЬЧАТАЯ ;17;100-500 МЕТРОВ ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
191;АЛ ТАЙМЫР;Сурядов В.А.;23.05.2016;07.35;7117,8 N/07218,7 E;НЕРПА КОЛЬЧАТАЯ ;2;5 КБТ ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
192;АЛ ТАЙМЫР;КИСЕЛЕВ С.В;03.06.2016;08:05;6922 N/07313 E;НЕРПА КОЛЬЧАТАЯ ;17;200 МЕТРОВ ;;С ЛЕВОГО БОРТА ; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
193;;;;;;;;;;;
194;;;;;;;;;;;
195;;;;;;;;;;;
196;;;;;;;;;;;
197;;;;;;;;;;;
198;;;;;;;;;;;
199;;;;;;;;;;;
200;;;;;;;;;;;
201;;;;;;;;;;;
202;;;;;;;;;;;
203;;;;;;;;;;;
204;;;;;;;;;;;
205;;;;;;;;;;;
206;;;;;;;;;;;
